RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          875     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   22   25     0     0  con    0  1.0D+00  2.0D-01  1.851D+00  1.686D+01
   23   26     0     0  con    0  1.0D+00  3.3D-01  1.611D+00  1.620D+01
   24   27     0     0  con    0  1.0D+00  4.4D-01  1.747D+00  1.536D+01
   25   28     0     0  con    0  1.0D+00  5.7D-01  1.742D+00  1.462D+01
   26   29     0     0  con    0  1.0D+00  7.0D-01  2.335D+00  1.375D+01
   27   30     0     0  con    0  1.0D+00  9.4D-01  1.460D+00  1.269D+01
   28   32     0     0  con    1  3.0D-01  2.1D-01  1.401D+00  1.239D+01
   29   33     0     0  con    0  1.0D+00  8.5D-01  1.427D+00  1.152D+01
   30   34     0     0  con    0  1.0D+00  7.3D-01  1.386D+00  1.093D+01
   31   35     0     0  con    0  1.0D+00  3.7D-01  9.175D-01  1.051D+01
   32   36     0     0  con    0  1.0D+00  1.0D+00  6.550D-01  9.811D+00
   33   37     0     0  con    0  1.0D+00  1.1D+00  8.921D-01  9.048D+00
   34   38     0     0  con    0  1.0D+00  1.1D+00  3.584D-01  8.324D+00
   35   39     0     0  con    0  1.0D+00  1.1D+00  4.291D-01  7.682D+00
   36   40     0     0  con    0  1.0D+00  1.3D+00  9.313D-01  7.334D+00
   37   41     0     0  con    0  1.0D+00  3.8D-01  2.688D-01  6.906D+00
   38   42     0     0  con    0  1.0D+00  1.3D-01  2.222D-01  6.771D+00
   39   43     0     0  con    0  1.0D+00  3.0D-01  4.445D-01  6.660D+00
   40   44     0     0  con    0  1.0D+00  1.9D-01  1.999D-01  6.597D+00
   41   45     0     0  con    0  1.0D+00  2.2D-01  1.665D-01  6.553D+00
   42   46     0     0  con    0  1.0D+00  4.4D-01  1.584D-01  6.505D+00
   43   47     0     0  con    0  1.0D+00  6.5D-02  1.382D-01  6.483D+00
   44   48     0     0  con    0  1.0D+00  3.4D-02  1.255D-01  6.473D+00
   45   49     0     0  con    0  1.0D+00  6.7D-02  6.357D-02  6.466D+00
   46   50     0     0  con    0  1.0D+00  6.9D-02  4.284D-02  6.459D+00
   47   52     0     0  con    0  1.0D+00  7.9D-02  1.995D-01  1.014D+01
   48   53     0     0  con    0  1.0D+00  5.8D-02  1.782D-01  1.010D+01
   49   54     0     0  con    0  1.0D+00  1.1D-01  2.197D-01  1.006D+01
   50   55     0     0  con    0  1.0D+00  1.9D-01  4.045D-01  1.003D+01
   51   56     0     0  con    0  1.0D+00  8.9D-02  1.792D-01  9.989D+00
   52   57     0     0  con    0  1.0D+00  2.9D-02  8.531D-02  9.977D+00
   53   58     0     0  con    0  1.0D+00  3.8D-02  8.996D-02  9.966D+00
   54   59     0     0  con    0  1.0D+00  5.6D-02  7.079D-02  9.951D+00
   55   60     0     0  con    0  1.0D+00  6.9D-02  1.663D-01  9.947D+00
   56   61     0     0  con    0  1.0D+00  1.9D-02  4.251D-02  9.938D+00
   57   62     0     0  con    0  1.0D+00  1.0D-02  4.854D-02  9.936D+00
   58   63     0     0  con    0  1.0D+00  2.5D-02  4.892D-02  9.933D+00
   59   65     0     0  con    1  4.8D-01  1.5D-02  5.674D-02  9.931D+00
   60   66     0     0  con    0  1.0D+00  1.5D-02  2.239D-02  9.930D+00
   61   67     0     0  con    0  1.0D+00  1.4D-02  2.053D-02  9.929D+00
   62   68     0     0  con    0  1.0D+00  1.0D-02  3.534D-02  9.929D+00
   63   69     0     0  con    0  1.0D+00  2.5D-03  1.760D-02  9.929D+00
   64   70     0     0  con    0  1.0D+00  2.8D-03  1.151D-02  9.929D+00
   65   71     0     0  con    0  1.0D+00  5.3D-03  1.543D-02  9.928D+00
   66   72     0     0  con    0  1.0D+00  8.2D-03  1.742D-02  9.928D+00
   67   73     0     0  con    0  1.0D+00  6.6D-03  9.205D-03  9.928D+00
   68   74     0     0  con    0  1.0D+00  1.5D-03  6.610D-03  9.928D+00
   69   75     0     0  con    0  1.0D+00  2.2D-03  9.243D-03  9.928D+00
   70   76     0     0  con    0  1.0D+00  3.0D-03  9.096D-03  9.928D+00
   71   78     0     0  con    1  4.3D-01  2.1D-03  7.337D-03  9.928D+00
   72   79     0     0  con    0  1.0D+00  2.1D-03  6.357D-03  9.928D+00
   73   80     0     0  con    0  1.0D+00  1.2D-03  5.346D-03  9.928D+00
   74   81     0     0  con    0  1.0D+00  1.9D-03  5.809D-03  9.928D+00
   75   82     0     0  con    0  1.0D+00  2.5D-03  1.402D-02  9.928D+00
   76   83     0     0  con    0  1.0D+00  9.2D-04  5.317D-03  9.928D+00
   77   84     0     0  con    0  1.0D+00  4.2D-04  6.573D-03  9.928D+00
   78   85     0     0  con    0  1.0D+00  8.6D-04  7.098D-03  9.928D+00
   79   86     0     0  con    0  1.0D+00  1.4D-03  6.794D-03  9.928D+00
   80   87     0     0  con    0  1.0D+00  2.6D-03  6.290D-03  9.928D+00
   81   88     0     0  con    0  1.0D+00  3.5D-04  5.491D-03  9.928D+00
   82   89     0     0  con    0  1.0D+00  5.9D-04  4.820D-03  9.928D+00
   83   90     0     0  con    0  1.0D+00  8.8D-04  4.442D-03  9.928D+00
   84   91     0     0  con    0  1.0D+00  3.1D-03  4.566D-03  9.928D+00
   85   92     0     0  con    0  1.0D+00  5.0D-03  6.429D-03  9.928D+00
   86   93     0     0  con    0  1.0D+00  1.3D-03  3.726D-03  9.928D+00
   87   94     0     0  con    0  1.0D+00  2.7D-03  5.090D-03  9.928D+00
   88   95     0     0  con    0  1.0D+00  2.2D-03  4.526D-03  9.928D+00
   89   96     0     0  con    0  1.0D+00  9.1D-03  1.342D-02  9.928D+00
   90   97     0     0  con    0  1.0D+00  4.4D-03  2.799D-03  9.928D+00
   91   98     0     0  con    0  1.0D+00  9.6D-04  2.083D-03  9.928D+00
   92   99     0     0  con    0  1.0D+00  2.5D-03  3.982D-03  9.928D+00
   93  100     0     0  con    0  1.0D+00  3.2D-03  3.141D-03  9.928D+00
   94  101     0     0  con    0  1.0D+00  2.0D-03  1.721D-03  9.928D+00
   95  102     0     0  con    0  1.0D+00  2.3D-03  1.515D-03  9.928D+00
   96  103     0     0  con    0  1.0D+00  1.0D-03  1.424D-03  9.928D+00
   97  104     0     0  con    0  1.0D+00  1.7D-03  1.132D-03  9.928D+00
   98  106     0     0  con    1  4.0D-01  6.3D-04  1.667D-03  9.928D+00
   99  107     0     0  con    0  1.0D+00  4.3D-04  6.302D-04  9.928D+00
  100  108     0     0  con    0  1.0D+00  2.0D-04  6.579D-04  9.928D+00

STOP: TOTAL NO. of ITERATIONS REACHED LIMIT                 

 Total User time 1.386E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nse   14   17     0     0  con    0  1.0D+00  1.1D-01  3.757D+01  1.015D+03
   15   18     0     0  con    0  1.0D+00  3.3D-01  7.030D+01  9.775D+02
   16   19     0     0  con    0  1.0D+00  4.3D-01  5.912D+01  9.414D+02
   17   20     0     0  con    0  1.0D+00  5.1D-01  5.172D+01  9.184D+02
   18   21     0     0  con    0  1.0D+00  7.3D-01  2.987D+01  8.984D+02
   19   22     0     0  con    0  1.0D+00  1.5D-01  2.491D+01  8.833D+02
   20   23     0     0  con    0  1.0D+00  1.4D-01  2.462D+01  8.733D+02
   21   24     0     0  con    0  1.0D+00  4.4D-01  2.411D+01  8.552D+02
   22   26     0     0  con    1  4.9D-01  3.3D-01  3.473D+01  8.478D+02
   23   27     0     0  con    0  1.0D+00  2.8D-01  2.603D+01  8.376D+02
   24   28     0     0  con    0  1.0D+00  4.9D-01  1.761D+01  8.238D+02
   25   29     0     0  con    0  1.0D+00  4.3D-01  2.375D+01  8.167D+02
   26   30     0     0  con    0  1.0D+00  2.3D-01  1.667D+01  8.095D+02
   27   31     0     0  con    0  1.0D+00  1.1D-01  1.373D+01  8.043D+02
   28   32     0     0  con    0  1.0D+00  3.2D-01  3.876D+01  7.973D+02
   29   33     0     0  con    0  1.0D+00  1.9D-01  1.756D+01  7.939D+02
   30   34     0     0  con    0  1.0D+00  9.1D-02  1.470D+01  7.910D+02
   31   35     0     0  con    0  1.0D+00  2.6D-01  2.531D+01  7.874D+02
   32   36     0     0  con    0  1.0D+00  2.2D-01  2.289D+01  7.842D+02
   33   37     0     0  con    0  1.0D+00  4.3D-01  1.507D+01  7.792D+02
   34   38     0     0  con    0  1.0D+00  3.5D-01  1.612D+01  7.748D+02
   35   39     0     0  con    0  1.0D+00  4.8D-02  1.163D+01  7.729D+02
   36   40     0     0  con    0  1.0D+00  1.7D-01  1.035D+01  7.692D+02
   37   41     0     0  con    0  1.0D+00  2.4D-01  1.038D+01  7.666D+02
   38   42     0     0  con    0  1.0D+00  4.6D-01  1.090D+01  7.633D+02
   39   43     0     0  con    0  1.0D+00  2.3D-01  9.733D+00  7.607D+02
   40   44     0     0  con    0  1.0D+00  8.0D-02  1.097D+01  7.590D+02
   41   45     0     0  con    0  1.0D+00  2.1D-01  1.660D+01  7.565D+02
   42   46     0     0  con    0  1.0D+00  1.8D-01  1.209D+01  7.547D+02
   43   47     0     0  con    0  1.0D+00  1.3D-01  8.823D+00  7.532D+02
   44   48     0     0  con    0  1.0D+00  3.2D-01  1.320D+01  7.509D+02
   45   49     0     0  con    0  1.0D+00  1.6D-01  1.127D+01  7.498D+02
   46   50     0     0  con    0  1.0D+00  5.0D-02  9.144D+00  7.488D+02
   47   51     0     0  con    0  1.0D+00  2.5D-01  8.917D+00  7.465D+02
   48   52     0     0  con    0  1.0D+00  2.0D-01  1.573D+01  7.452D+02
   49   53     0     0  con    0  1.0D+00  2.4D-01  7.801D+00  7.437D+02
   50   54     0     0  con    0  1.0D+00  2.5D-01  9.536D+00  7.425D+02
   51   55     0     0  con    0  1.0D+00  1.8D-01  1.185D+01  7.416D+02
   52   56     0     0  con    0  1.0D+00  4.0D-02  6.139D+00  7.407D+02
   53   57     0     0  con    0  1.0D+00  1.0D-01  3.888D+00  7.397D+02
   54   58     0     0  con    0  1.0D+00  1.3D-01  7.723D+00  7.390D+02
   55   59     0     0  con    0  1.0D+00  1.6D-01  9.095D+00  7.382D+02
   56   60     0     0  con    0  1.0D+00  1.1D-01  6.141D+00  7.376D+02
   57   61     0     0  con    0  1.0D+00  1.7D-01  6.008D+00  7.369D+02
   58   62     0     0  con    0  1.0D+00  9.2D-02  5.806D+00  7.364D+02
   59   63     0     0  con    0  1.0D+00  2.7D-02  4.754D+00  7.360D+02
   60   64     0     0  con    0  1.0D+00  8.4D-02  4.135D+00  7.354D+02
   61   65     0     0  con    0  1.0D+00  9.2D-02  5.186D+00  7.350D+02
   62   66     0     0  con    0  1.0D+00  1.1D-01  3.117D+00  7.345D+02
   63   67     0     0  con    0  1.0D+00  1.2D-01  3.849D+00  7.342D+02
   64   68     0     0  con    0  1.0D+00  5.2D-02  2.733D+00  7.340D+02
   65   69     0     0  con    0  1.0D+00  2.8D-02  2.275D+00  7.338D+02
   66   70     0     0  con    0  1.0D+00  8.7D-02  2.783D+00  7.335D+02
   67   71     0     0  con    0  1.0D+00  1.1D-01  5.250D+00  7.334D+02
   68   72     0     0  con    0  1.0D+00  1.5D-02  2.473D+00  7.332D+02
   69   73     0     0  con    0  1.0D+00  2.6D-02  2.160D+00  7.331D+02
   70   74     0     0  con    0  1.0D+00  4.6D-02  2.650D+00  7.330D+02
   49   53     0     0  con    0  1.0D+00  2.4D-01  2.341D+00  8.092D+01
   50   54     0     0  con    0  1.0D+00  2.7D-01  2.942D+00  8.018D+01
   51   55     0     0  con    0  1.0D+00  4.9D-01  4.540D+00  7.937D+01
   52   56     0     0  con    0  1.0D+00  2.9D-01  2.477D+00  7.867D+01
   53   57     0     0  con    0  1.0D+00  2.9D-01  3.122D+00  7.797D+01
   54   58     0     0  con    0  1.0D+00  5.3D-01  4.495D+00  7.755D+01
   55   59     0     0  con    0  1.0D+00  1.2D-01  2.448D+00  7.686D+01
   56   60     0     0  con    0  1.0D+00  9.5D-02  1.589D+00  7.653D+01
   57   61     0     0  con    0  1.0D+00  2.6D-01  1.860D+00  7.602D+01
   58   62     0     0  con    0  1.0D+00  3.9D-01  1.747D+00  7.529D+01
   59   64     0     0  con    1  3.8D-01  3.1D-01  2.934D+00  7.483D+01
   60   65     0     0  con    0  1.0D+00  3.3D-01  1.146D+00  7.432D+01
   61   66     0     0  con    0  1.0D+00  2.3D-01  1.597D+00  7.393D+01
   62   67     0     0  con    0  1.0D+00  3.0D-01  2.014D+00  7.342D+01
   63   68     0     0  con    0  1.0D+00  4.8D-01  2.366D+00  7.321D+01
   64   69     0     0  con    0  1.0D+00  6.0D-02  1.238D+00  7.276D+01
   65   70     0     0  con    0  1.0D+00  8.2D-02  8.785D-01  7.253D+01
   66   71     0     0  con    0  1.0D+00  2.2D-01  1.543D+00  7.226D+01
   67   72     0     0  con    0  1.0D+00  4.5D-01  1.832D+00  7.203D+01
   68   73     0     0  con    0  1.0D+00  2.3D-01  9.810D-01  7.175D+01
   69   74     0     0  con    0  1.0D+00  1.4D-01  6.489D-01  7.160D+01
   70   75     0     0  con    0  1.0D+00  2.0D-01  1.024D+00  7.143D+01
   71   76     0     0  con    0  1.0D+00  2.0D-01  7.245D-01  7.127D+01
   72   77     0     0  con    0  1.0D+00  1.5D-01  6.342D-01  7.114D+01
   73   78     0     0  con    0  1.0D+00  1.7D-01  5.085D-01  7.099D+01
   74   79     0     0  con    0  1.0D+00  2.1D-01  1.223D+00  7.096D+01
   75   80     0     0  con    0  1.0D+00  2.3D-02  4.385D-01  7.084D+01
   76   81     0     0  con    0  1.0D+00  2.9D-02  3.638D-01  7.080D+01
   77   82     0     0  con    0  1.0D+00  8.5D-02  4.623D-01  7.074D+01
   78   83     0     0  con    0  1.0D+00  1.2D-01  4.865D-01  7.066D+01
   79   85     0     0  con    1  4.3D-01  1.0D-01  4.676D-01  7.063D+01
   80   86     0     0  con    0  1.0D+00  1.0D-01  2.974D-01  7.058D+01
   81   87     0     0  con    0  1.0D+00  5.5D-02  2.077D-01  7.056D+01
   82   88     0     0  con    0  1.0D+00  7.6D-02  4.623D-01  7.054D+01
   83   89     0     0  con    0  1.0D+00  2.9D-02  4.044D-01  7.051D+01
   84   90     0     0  con    0  1.0D+00  1.4D-02  3.118D-01  7.050D+01
   85   91     0     0  con    0  1.0D+00  3.0D-02  2.135D-01  7.048D+01
   86   92     0     0  con    0  1.0D+00  4.4D-02  2.116D-01  7.047D+01
   87   93     0     0  con    0  1.0D+00  9.0D-02  1.286D+00  7.046D+01
   88   94     0     0  con    0  1.0D+00  1.6D-02  1.597D-01  7.044D+01
   89   95     0     0  con    0  1.0D+00  6.7D-03  1.213D-01  7.044D+01
   90   96     0     0  con    0  1.0D+00  2.1D-02  1.370D-01  7.043D+01
   91   97     0     0  con    0  1.0D+00  3.5D-02  2.272D-01  7.042D+01
   92   99     0     0  con    1  3.6D-01  2.2D-02  1.450D-01  7.042D+01
   93  100     0     0  con    0  1.0D+00  2.0D-02  8.366D-02  7.041D+01
   94  101     0     0  con    0  1.0D+00  1.1D-02  6.907D-02  7.041D+01
   95  102     0     0  con    0  1.0D+00  1.3D-02  1.035D-01  7.041D+01
   96  103     0     0  con    0  1.0D+00  1.8D-02  1.295D-01  7.041D+01
   97  104     0     0  con    0  1.0D+00  3.7D-03  6.013D-02  7.041D+01
   98  105     0     0  con    0  1.0D+00  5.6D-03  6.420D-02  7.040D+01
   99  106     0     0  con    0  1.0D+00  6.7D-03  5.795D-02  7.040D+01
  100  107     0     0  con    0  1.0D+00  2.2D-02  7.422D-02  7.040D+01

STOP: TOTAL NO. of ITERATIONS REACHED LIMIT                 

 Total User time 1.377E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which    16   18     0     0  con    0  1.0D+00  1.8D-01  2.433D+00  1.139D+01
   17   19     0     0  con    0  1.0D+00  1.5D-01  1.890D+00  1.102D+01
   18   21     0     0  con    1  4.7D-01  2.2D-01  2.062D+00  1.071D+01
   19   22     0     0  con    0  1.0D+00  4.0D-01  1.453D+00  1.011D+01
   20   23     0     0  con    0  1.0D+00  3.4D-01  1.258D+00  9.638D+00
   21   24     0     0  con    0  1.0D+00  1.3D+00  1.337D+00  8.527D+00
   22   26     0     0  con    1  3.7D-01  4.3D-01  1.149D+00  7.998D+00
   23   27     0     0  con    0  1.0D+00  6.9D-01  1.289D+00  7.465D+00
   24   28     0     0  con    0  1.0D+00  4.8D-01  1.315D+00  6.951D+00
   25   29     0     0  con    0  1.0D+00  3.9D-01  1.072D+00  6.556D+00
   26   30     0     0  con    0  1.0D+00  8.3D-01  1.646D+00  5.846D+00
   27   31     0     0  con    0  1.0D+00  4.6D-01  1.033D+00  5.127D+00
   28   32     0     0  con    0  1.0D+00  1.3D+00  7.374D-01  4.500D+00
   29   33     0     0  con    0  1.0D+00  2.5D+00  5.814D-01  3.625D+00
   30   34     0     0  con    0  1.0D+00  5.1D-01  3.593D-01  3.097D+00
   31   35     0     0  con    0  1.0D+00  5.1D-01  2.612D-01  2.682D+00
   32   37     0     0  con    1  4.6D-01  5.7D-01  2.289D-01  2.339D+00
   33   38     0     0  con    0  1.0D+00  1.1D+00  4.806D-01  2.240D+00
   34   39     0     0  con    0  1.0D+00  1.7D-01  2.147D-01  2.122D+00
   35   40     0     0  con    0  1.0D+00  6.9D-02  8.331D-02  2.098D+00
   36   41     0     0  con    0  1.0D+00  2.2D-01  8.919D-02  2.063D+00
   37   42     0     0  con    0  1.0D+00  2.0D-01  7.940D-02  2.039D+00
   38   43     0     0  con    0  1.0D+00  2.3D-01  7.229D-02  2.027D+00
   39   44     0     0  con    0  1.0D+00  6.2D-02  3.211D-02  2.022D+00
   40   45     0     0  con    0  1.0D+00  5.0D-02  3.177D-02  2.019D+00
   41   46     0     0  con    0  1.0D+00  1.5D-02  2.399D-02  2.018D+00
   42   47     0     0  con    0  1.0D+00  3.8D-02  1.368D-02  2.016D+00
   43   48     0     0  con    0  1.0D+00  3.1D-02  1.086D-02  2.015D+00
   44   49     0     0  con    0  1.0D+00  2.4D-02  4.777D-03  2.015D+00
   45   50     0     0  con    0  1.0D+00  7.4D-03  5.419D-03  2.015D+00
   46   51     0     0  con    0  1.0D+00  3.1D-03  2.646D-03  2.015D+00
   47   52     0     0  con    0  1.0D+00  3.0D-03  1.946D-03  2.015D+00
   48   53     0     0  con    0  1.0D+00  3.4D-03  1.498D-03  2.015D+00
   49   54     0     0  con    0  1.0D+00  1.1D-02  2.313D-03  2.015D+00
   50   55     0     0  con    0  1.0D+00  2.0D-03  8.316D-04  2.015D+00
   51   56     0     0  con    0  1.0D+00  1.0D-03  9.896D-04  2.015D+00
   52   57     0     0  con    0  1.0D+00  3.6D-03  1.119D-03  2.015D+00
   53   58     0     0  con    0  1.0D+00  4.6D-03  2.323D-03  2.015D+00
   54   60     0     0  con    1  5.2D-01  4.2D-03  7.874D-04  2.015D+00
   55   61     0     0  con    0  1.0D+00  6.0D-04  5.425D-04  2.015D+00
   56   62     0     0  con    0  1.0D+00  4.4D-04  3.334D-04  2.015D+00
   57   63     0     0  con    0  1.0D+00  6.0D-04  3.309D-04  2.015D+00
   58   64     0     0  con    0  1.0D+00  1.1D-03  2.888D-04  2.015D+00
   59   66     0     0  con    1  3.7D-01  3.4D-04  8.483D-05  2.015D+00

CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL            

 Total User time 8.541E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          875     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.758D+04  1.217D+04
    1    3     1     0  -   50   59     0     0  con    0  1.0D+00  3.4D-    2    4     0     0  con    0  1.0D+00  1.1D-01  1.084D+04  7.523D+03
    3    5     0     0  con    0  1.0D+00  4.2D-01  3.238D+03  1.941D+03
    4    6     0     0  con    0  1.0D+00  1.6D-01  1.920D+03  1.168D+03
    5    7     0     0  con    0  1.0D+00  2.2D-01  9.836D+02  6.297D+02
    6    8     0     0  con    0  1.0D+00  2.1D-01  6.010D+02  4.051D+02
    7    9     0     0  con    0  1.0D+00  1.1D-01  4.566D+02  3.229D+02
    8   10     0     0  con    0  1.0D+00  3.9D-01  1.707D+02  1.526D+02
    9   11     0     0  con    0  1.0D+00  1.9D-01  1.087D+02  1.147D+02
   10   12     0     0  con    0  1.0D+00  3.6D-01  4.814D+01  6.455D+01
   11   13     0     0  con    0  1.0D+00  3.1D-01  2.624D+01  4.158D+01
   12   14     0     0  con    0  1.0D+00  5.7D-01  2.390D+01  2.894D+01
   13   15     0     0  con    0  1.0D+00  4.7D-01  5.513D+00  1.390D+01
   14   16     0     0  con    0  1.0D+00  1.7D-01  4.712D+00  1.213D+01
   15   17     0     0  con    0  1.0D+00  2.2D-01  3.286D+00  1.087D+01
   16   18     0     0  con    0  1.0D+00  1.6D-01  2.410D+00  1.028D+01
   17   19     0     0  con    0  1.0D+00  1.7D-01  1.794D+00  9.671D+00
   18   20     0     0  con    0  1.0D+00  3.1D-01  1.430D+00  9.020D+00
   19   21     0     0  con    0  1.0D+00  4.4D-01  1.495D+00  8.470D+00
   20   22     0     0  con    0  1.0D+00  4.2D-01  1.317D+00  8.064D+00
   21   24     0     0  con    1  3.4D-01  1.8D-01  1.110D+00  7.887D+00
   22   25     0     0  con    0  1.0D+00  6.7D-01  2.778D+00  7.361D+00
   23   26     0     0  con    0  1.0D+00  5.3D-01  2.409D+00  6.996D+00
   24   27     0     0  con    0  1.0D+00  3.0D-01  1.685D+00  6.783D+00
   25   28     0     0  con    0  1.0D+00  6.0D-01  1.420D+00  6.227D+00
   26   30     0     0  con    1  5.0D-01  7.2D-01  1.274D+00  5.424D+00
   27   31     0     0  con    0  1.0D+00  2.0D+00  9.350D-01  4.151D+00
   28   32     0     0  con    0  1.0D+00  1.7D+00  6.553D-01  3.399D+00
   29   33     0     0  con    0  1.0D+00  6.5D-01  4.764D-01  2.851D+00
   30   34     0     0  con    0  1.0D+00  1.0D+00  2.917D-01  2.362D+00
   31   35     0     0  con    0  1.0D+00  1.9D+00  5.222D-01  1.684D+00
   32   36     0     0  con    0  1.0D+00  1.5D+00  2.051D-01  1.372D+00
   33   37     0     0  con    0  1.0D+00  1.7D-01  1.846D-01  1.240D+00
   34   38     0     0  con    0  1.0D+00  4.6D-01  2.879D-01  1.033D+00
   35   39     0     0  con    0  1.0D+00  2.6D-01  1.981D-01  9.228D-01
   36   40     0     0  con    0  1.0D+00  1.4D-01  1.100D-01  8.824D-01
   37   41     0     0  con    0  1.0D+00  1.3D-01  3.092D-01  8.656D-01
   38   42     0     0  con    0  1.0D+00  1.1D-01  6.132D-02  8.442D-01
   39   43     0     0  con    0  1.0D+00  9.4D-02  9.181D-02  8.390D-01
   40   44     0     0  con    0  1.0D+00  1.4D-01  1.036D-01  8.227D-01
   41   45     0     0  con    0  1.0D+00  6.6D-02  5.709D-02  8.140D-01
   42   46     0     0  con    0  1.0D+00  8.6D-02  5.289D-02  8.089D-01
   43   48     0     0  con    1  3.6D-01  1.5D-02  2.113D-02  8.077D-01
   44   49     0     0  con    0  1.0D+00  7.5D-03  2.180D-02  8.073D-01
   45   50     0     0  con    0  1.0D+00  3.6D-02  1.687D-02  8.060D-01
   46   51     0     0  con    0  1.0D+00  9.0D-02  1.079D-02  8.053D-01
   47   52     0     0  con    0  1.0D+00  4.3D-02  1.803D-02  8.049D-01
   48   53     0     0  con    0  1.0D+00  2.1D-02  9.623D-03  8.046D-01
   49   54     0     0  con    0  1.0D+00  6.3D-02  1.019D-02  8.043D-01
   50   55     0     0  con    0  1.0D+00  5.2D-02  1.166D-02  8.042D-01
   51   56     0     0  con    0  1.0D+00  7.8D-03  3.218D-03  8.041D-01
   52   57     0     0  con    0  1.0D+00  6.7D-03  3.351D-03  8.041D-01
   53   58     0     0  con    0  1.0D+00  1.9D-02  3.606D-03  8.040D-01
   54   59     0     0  con    0  1.0D+00  2.5D-02  2.737D-03  8.039D-01
   55   61     0     0  con    1  1.5D-01  6.1D-03  4.108D-03  8.039D-01
   56   62     0     0  con    0  1.0D+00  8.9D-03  1.710D-03  8.039D-01
   57   63     0     0  con    0  1.0D        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search   59   65     0     0  con    0  1.0D+00  1.3D-03  8.824D-04  8.039D-01
   60   66     0     0  con    0  1.0D+00  1.3D-03  7.646D-04  8.039D-01
   61   67     0     0  con    0  1.0D+00  4.4D-04  3.344D-04  8.039D-01
   62   68     0     0  con    0  1.0D+00  1.7D-04  1.752D-04  8.039D-01
   63   69     0     0  con    0  1.0D+00  2.8D-04  1.705D-04  8.039D-01
